type,name,url
emote,PJSugar,https://static-cdn.jtvnw.net/emoticons/v2/102556/static/dark/3.0
emote,VoteYea,https://static-cdn.jtvnw.net/emoticons/v2/106293/static/dark/3.0
emote,VoteNay,https://static-cdn.jtvnw.net/emoticons/v2/106294/static/dark/3.0
emote,RuleFive,https://static-cdn.jtvnw.net/emoticons/v2/107030/static/dark/3.0
emote,;),https://static-cdn.jtvnw.net/emoticons/v2/11/static/dark/3.0
emote,DxCat,https://static-cdn.jtvnw.net/emoticons/v2/110734/static/dark/3.0
emote,TinyFace,https://static-cdn.jtvnw.net/emoticons/v2/111119/static/dark/3.0
emote,PicoMause,https://static-cdn.jtvnw.net/emoticons/v2/111300/static/dark/3.0
emote,TheTarFu,https://static-cdn.jtvnw.net/emoticons/v2/111351/static/dark/3.0
emote,DatSheffy,https://static-cdn.jtvnw.net/emoticons/v2/111700/static/dark/3.0
emote,UnSane,https://static-cdn.jtvnw.net/emoticons/v2/111792/static/dark/3.0
emote,copyThis,https://static-cdn.jtvnw.net/emoticons/v2/112288/static/dark/3.0
emote,pastaThat,https://static-cdn.jtvnw.net/emoticons/v2/112289/static/dark/3.0
emote,imGlitch,https://static-cdn.jtvnw.net/emoticons/v2/112290/static/dark/3.0
emote,GivePLZ,https://static-cdn.jtvnw.net/emoticons/v2/112291/static/dark/3.0
emote,TakeNRG,https://static-cdn.jtvnw.net/emoticons/v2/112292/static/dark/3.0
emote,BlargNaut,https://static-cdn.jtvnw.net/emoticons/v2/114738/static/dark/3.0
emote,DogFace,https://static-cdn.jtvnw.net/emoticons/v2/114835/static/dark/3.0
emote,Jebaited,https://static-cdn.jtvnw.net/emoticons/v2/114836/static/dark/3.0
emote,TooSpicy,https://static-cdn.jtvnw.net/emoticons/v2/114846/static/dark/3.0
emote,WTRuck,https://static-cdn.jtvnw.net/emoticons/v2/114847/static/dark/3.0
emote,UncleNox,https://static-cdn.jtvnw.net/emoticons/v2/114856/static/dark/3.0
emote,RaccAttack,https://static-cdn.jtvnw.net/emoticons/v2/114870/static/dark/3.0
emote,StrawBeary,https://static-cdn.jtvnw.net/emoticons/v2/114876/static/dark/3.0
emote,PrimeMe,https://static-cdn.jtvnw.net/emoticons/v2/115075/static/dark/3.0
emote,BrainSlug,https://static-cdn.jtvnw.net/emoticons/v2/115233/static/dark/3.0
emote,BatChest,https://static-cdn.jtvnw.net/emoticons/v2/115234/static/dark/3.0
emote,CurseLit,https://static-cdn.jtvnw.net/emoticons/v2/116625/static/dark/3.0
emote,Poooound,https://static-cdn.jtvnw.net/emoticons/v2/117484/static/dark/3.0
emote,FreakinStinkin,https://static-cdn.jtvnw.net/emoticons/v2/117701/static/dark/3.0
emote,SuperVinlin,https://static-cdn.jtvnw.net/emoticons/v2/118772/static/dark/3.0
emote,:P,https://static-cdn.jtvnw.net/emoticons/v2/12/static/dark/3.0
emote,TriHard,https://static-cdn.jtvnw.net/emoticons/v2/120232/static/dark/3.0
emote,TwitchRPG,https://static-cdn.jtvnw.net/emoticons/v2/1220086/static/dark/3.0
emote,CoolStoryBob,https://static-cdn.jtvnw.net/emoticons/v2/123171/static/dark/3.0
emote,MaxLOL,https://static-cdn.jtvnw.net/emoticons/v2/1290325/static/dark/3.0
emote,;P,https://static-cdn.jtvnw.net/emoticons/v2/13/static/dark/3.0
emote,ItsBoshyTime,https://static-cdn.jtvnw.net/emoticons/v2/133468/static/dark/3.0
emote,KAPOW,https://static-cdn.jtvnw.net/emoticons/v2/133537/static/dark/3.0
emote,YouDontSay,https://static-cdn.jtvnw.net/emoticons/v2/134254/static/dark/3.0
emote,UWot,https://static-cdn.jtvnw.net/emoticons/v2/134255/static/dark/3.0
emote,RlyTho,https://static-cdn.jtvnw.net/emoticons/v2/134256/static/dark/3.0
emote,PartyTime,https://static-cdn.jtvnw.net/emoticons/v2/135393/static/dark/3.0
emote,NinjaGrumpy,https://static-cdn.jtvnw.net/emoticons/v2/138325/static/dark/3.0
emote,R),https://static-cdn.jtvnw.net/emoticons/v2/14/static/dark/3.0
emote,MVGame,https://static-cdn.jtvnw.net/emoticons/v2/142140/static/dark/3.0
emote,TBAngel,https://static-cdn.jtvnw.net/emoticons/v2/143490/static/dark/3.0
emote,FBRun,https://static-cdn.jtvnw.net/emoticons/v2/1441261/static/dark/3.0
emote,FBPass,https://static-cdn.jtvnw.net/emoticons/v2/1441271/static/dark/3.0
emote,FBSpiral,https://static-cdn.jtvnw.net/emoticons/v2/1441273/static/dark/3.0
emote,FBBlock,https://static-cdn.jtvnw.net/emoticons/v2/1441276/static/dark/3.0
emote,FBCatch,https://static-cdn.jtvnw.net/emoticons/v2/1441281/static/dark/3.0
emote,FBChallenge,https://static-cdn.jtvnw.net/emoticons/v2/1441285/static/dark/3.0
emote,FBPenalty,https://static-cdn.jtvnw.net/emoticons/v2/1441289/static/dark/3.0
emote,TheIlluminati,https://static-cdn.jtvnw.net/emoticons/v2/145315/static/dark/3.0
emote,JKanStyle,https://static-cdn.jtvnw.net/emoticons/v2/15/static/dark/3.0
emote,PixelBob,https://static-cdn.jtvnw.net/emoticons/v2/1547903/static/dark/3.0
emote,MorphinTime,https://static-cdn.jtvnw.net/emoticons/v2/156787/static/dark/3.0
emote,OptimizePrime,https://static-cdn.jtvnw.net/emoticons/v2/16/static/dark/3.0
emote,ThankEgg,https://static-cdn.jtvnw.net/emoticons/v2/160392/static/dark/3.0
emote,BegWan,https://static-cdn.jtvnw.net/emoticons/v2/160394/static/dark/3.0
emote,BigPhish,https://static-cdn.jtvnw.net/emoticons/v2/160395/static/dark/3.0
emote,InuyoFace,https://static-cdn.jtvnw.net/emoticons/v2/160396/static/dark/3.0
emote,Kappu,https://static-cdn.jtvnw.net/emoticons/v2/160397/static/dark/3.0
emote,KonCha,https://static-cdn.jtvnw.net/emoticons/v2/160400/static/dark/3.0
emote,PunOko,https://static-cdn.jtvnw.net/emoticons/v2/160401/static/dark/3.0
emote,SabaPing,https://static-cdn.jtvnw.net/emoticons/v2/160402/static/dark/3.0
emote,TearGlove,https://static-cdn.jtvnw.net/emoticons/v2/160403/static/dark/3.0
emote,TehePelo,https://static-cdn.jtvnw.net/emoticons/v2/160404/static/dark/3.0
emote,TwitchLit,https://static-cdn.jtvnw.net/emoticons/v2/166263/static/dark/3.0
emote,CarlSmile,https://static-cdn.jtvnw.net/emoticons/v2/166266/static/dark/3.0
emote,StoneLightning,https://static-cdn.jtvnw.net/emoticons/v2/17/static/dark/3.0
emote,HolidayCookie,https://static-cdn.jtvnw.net/emoticons/v2/1713813/static/dark/3.0
emote,HolidayLog,https://static-cdn.jtvnw.net/emoticons/v2/1713816/static/dark/3.0
emote,HolidayPresent,https://static-cdn.jtvnw.net/emoticons/v2/1713819/static/dark/3.0
emote,HolidaySanta,https://static-cdn.jtvnw.net/emoticons/v2/1713822/static/dark/3.0
emote,HolidayTree,https://static-cdn.jtvnw.net/emoticons/v2/1713825/static/dark/3.0
emote,TheRinger,https://static-cdn.jtvnw.net/emoticons/v2/18/static/dark/3.0
emote,WholeWheat,https://static-cdn.jtvnw.net/emoticons/v2/1896/static/dark/3.0
emote,ThunBeast,https://static-cdn.jtvnw.net/emoticons/v2/1898/static/dark/3.0
emote,TF2John,https://static-cdn.jtvnw.net/emoticons/v2/1899/static/dark/3.0
emote,RalpherZ,https://static-cdn.jtvnw.net/emoticons/v2/1900/static/dark/3.0
emote,Kippa,https://static-cdn.jtvnw.net/emoticons/v2/1901/static/dark/3.0
emote,Keepo,https://static-cdn.jtvnw.net/emoticons/v2/1902/static/dark/3.0
emote,BigBrother,https://static-cdn.jtvnw.net/emoticons/v2/1904/static/dark/3.0
emote,SoBayed,https://static-cdn.jtvnw.net/emoticons/v2/1906/static/dark/3.0
emote,CrreamAwk,https://static-cdn.jtvnw.net/emoticons/v2/191313/static/dark/3.0
emote,Squid1,https://static-cdn.jtvnw.net/emoticons/v2/191762/static/dark/3.0
emote,Squid2,https://static-cdn.jtvnw.net/emoticons/v2/191763/static/dark/3.0
emote,Squid3,https://static-cdn.jtvnw.net/emoticons/v2/191764/static/dark/3.0
emote,Squid4,https://static-cdn.jtvnw.net/emoticons/v2/191767/static/dark/3.0
emote,TwitchUnity,https://static-cdn.jtvnw.net/emoticons/v2/196892/static/dark/3.0
emote,HassaanChop,https://static-cdn.jtvnw.net/emoticons/v2/20225/static/dark/3.0
